"Type";"Year";"DensityMass";"DensityMassLow";"DensityMassHigh";"DensityNumbers";"DensityNumbersLow";"DensityNumbersHigh";"DensityProb";"DensityProbLow";"DensityProbHigh"
"Plastic";"2019";4,06760116122919;3,47031849846992;5,6995622802866;34,565361823194;30,4042010245607;41,5496906383238;0,620460755632039;0,588967051715594;0,65794461800535
"Plastic";"2020";3,55128010491377;2,98229870329595;4,96756649268255;38,9677115292434;34,0351560511038;47,0345061689414;0,64380091384243;0,605039106876435;0,681968747513565
"Plastic";"2021";2,60706689980547;2,14501367649398;3,87594681277957;76,7584460089994;65,8842971451141;91,5700983424486;0,762117815032077;0,724442091257254;0,797178131176812
"Rubber";"2012";0,0578663594975224;0,018941926130945;0,213815853976035;2,12325247499474;1,87797779194759;2,82720506240162;0,117102819681203;0,104574274067808;0,140771258890996
"Rubber";"2013";0,087603584948816;0,0415453589804713;0,22918726666847;2,12326536135554;1,8675635809186;2,85085570299047;0,117103314492886;0,104259718349869;0,140680229325871
"Rubber";"2014";0,247059930312971;0,117968875828058;0,63127176484919;2,1232720586299;1,87782742848034;2,86931731100434;0,117103571654832;0,105373933090567;0,141903119971016
"Rubber";"2015";0,557230946952945;0,307664039757654;1,31891039088869;2,12326330315746;1,88679392257625;2,87741022498381;0,117103235462109;0,104776136177974;0,139628353063838
"Rubber";"2016";0,654282477575437;0,378154529819315;1,39176717519516;2,12325496487404;1,84569125726533;2,92637252007008;0,117102915287942;0,103955730638928;0,140658324430634
"Rubber";"2017";0,428653381892652;0,258757375201406;0,896675210189951;2,12321642202394;1,87167058986236;2,8487270406283;0,117101435307547;0,104636914719881;0,14151884279624
"Rubber";"2018";0,554277331283804;0,324447751400929;1,13978366543783;2,12322657863344;1,86443332300211;2,88989249770328;0,117101825305571;0,105478999312902;0,140543445410846
"Rubber";"2019";1,309607530018;0,826747163829746;2,50172994726778;2,12325478689118;1,8711867811523;2,87380218147704;0,117102908453733;0,104959519901796;0,140460873051121
"Rubber";"2020";1,46962374282652;0,928699201131466;2,8257936306675;2,12331394254167;1,86889169150309;2,87428430678496;0,117105179903708;0,105584559859459;0,140842106763987
"Rubber";"2021";0,588928565726338;0,341469941712554;1,33221016239704;2,12335349574218;1,85858236634804;2,79958551278474;0,11710669864327;0,104851466492824;0,138703294773655
"SUP";"2012";0,017508356065548;0,00844113632860575;0,0398240153362243;1,51155803952647;0,773166940906319;2,94013415409911;0,110926891900294;0,0609367836767398;0,190501580028936
"SUP";"2013";0,348716775996122;0,252392276605721;0,531526742236883;8,33799964530015;6,47346677222752;11,2679587621504;0,375868782949172;0,324055666784204;0,437337532608062
"SUP";"2014";0,724306458701812;0,531024556649964;1,14127380492324;15,2381369463195;11,7150518783615;21,2020406632761;0,505693731426001;0,442069964839979;0,574815363981494
"SUP";"2015";0,444853882105558;0,340073665904482;0,691063560640452;14,901669353739;11,5043640178716;20,1118723665736;0,500834168930965;0,44037720253632;0,567970421580985
"SUP";"2016";0,859099096200569;0,684911356250437;1,25515347056875;15,0240129189509;12,9305487526155;18,4979647733135;0,50261415020751;0,460596033187357;0,550161711160809
"SUP";"2017";0,933088342183983;0,761390690132845;1,30747435112739;14,3743641377852;12,4855380643156;17,6021490058475;0,4929869013098;0,45295838894739;0,534934525551469
"SUP";"2018";1,25058402681078;1,0193518775439;1,76250103184096;14,6658726192584;12,5089830341051;18,0337641112996;0,497360774302764;0,455267747542044;0,545818940366943
"SUP";"2019";1,29943621440455;1,08702036739798;1,8066167469158;15,7393500631126;13,6382182468084;19,2153358611527;0,512729981769408;0,474653411854613;0,556194922394701
"SUP";"2020";1,16447863157681;0,956947761116324;1,63126214135625;17,9303628800558;15,4914259992844;21,7932012672159;0,540930477112517;0,497482237753971;0,586603434552348
"SUP";"2021";1,18029286272037;0,912638436742921;1,70638950651206;19,2659973827668;16,4937991629804;24,0443511705924;0,556341638663007;0,512478602396993;0,604146440290589
"Fishing.related";"2012";0,117951217119852;0,0559975792537562;0,44282484942656;0,540680183939263;0,229754438109412;1,53469172965709;0,0389959221503766;0,0181837911574365;0,0897371851732311
"Fishing.related";"2013";0,135699649540414;0,0793782997394173;0,379232432217309;0,622189621990176;0,352082701610448;1,36609964373298;0,0439102818091907;0,0265889147375775;0,079813193523071
"Fishing.related";"2014";0,235358471359366;0,143932981681448;0,657062324525571;1,27565977595822;0,739661359995653;2,61074022750224;0,0778796205581959;0,0507500648678476;0,127500989371311
"Fishing.related";"2015";0,347608549129881;0,231860923407672;0,890125565147024;1,85085133935457;1,17203834173698;3,56384028040688;0,102156655438142;0,071249654913159;0,155347739677903
"Fishing.related";"2016";0,364744912580122;0,259465176016821;0,875421328793386;2,06402723324094;1,6068924789612;3,28713583181715;0,110198187371349;0,0898920811915886;0,145985883884449
"Fishing.related";"2017";0,329651307148728;0,229205111046602;0,793449918379287;1,6893061867483;1,28767021319328;2,6562811448084;0,0957469101365078;0,0767794998110566;0,12760203359154
"Fishing.related";"2018";0,489900762583893;0,342998133724039;1,13219937544518;2,81431748933033;2,15421667789773;4,38690302744462;0,135388142929124;0,110040866467135;0,175271113796144
"Fishing.related";"2019";0,740055794339683;0,540302909599807;1,70485360443327;1,75574760782833;1,36426198168021;2,71074134418833;0,0984180850098435;0,0800005092974199;0,131208802620895
"Fishing.related";"2020";0,732581681915287;0,514437448482372;1,59550418232173;3,04157154319038;2,36646389377967;4,72747368048361;0,142225834811432;0,117164403928726;0,183565029549419
"Fishing.related";"2021";0,521568715743687;0,321682411645525;1,37600480489709;5,92258138143069;4,57159166239786;9,06020436081293;0,208853703545191;0,174140320305516;0,255222660814049
